Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0xd2069dabb60c26dbe72f26f601a9432fed6bd96255fa5c4a5cae2ba6f8585f83","(Pending)","Approve","(Pending)","2024-09-22 11:35:39","0x1034d00919e4882e9fa11bce1bc97923a0205d43","","0x812Ba41e071C7b7fA4EBcFB62dF5F45f6fA853Ee","javadf","0 ETH","$0.00","(Pending)"
"0x5fa3baa62ce35c99396ea23da6de49862a74ab25ade372ebcff4278ebd66b8df","(Pending)","Approve","(Pending)","2024-09-20 03:26:48","0xd6d92a596e54b7798b545b7e90531a73b041c04e","","0x812Ba41e071C7b7fA4EBcFB62dF5F45f6fA853Ee","javadf","0 ETH","$0.00","(Pending)"
"0x63707676b704a550177e7f07681bf02e021d4c3d98231ee168faa10237bb5daf","Success","Approve","20806044","2024-09-22 12:13:35","0x7a7ce617b42c86b69e10942f088ba815cf5f28d9","","0x812Ba41e071C7b7fA4EBcFB62dF5F45f6fA853Ee","javadf","0 ETH","$0.00","0.00059672"
"0x8ebfbac81d69ff050597e0ff88bfc2423c1ad3141bf26811ae7e2f1a7de9d3f9","Success","Transfer","20806037","2024-09-22 12:11:59","0xdfd5293d8e347dfe59e90efd55b2956a1343963d","Binance 16","0x812Ba41e071C7b7fA4EBcFB62dF5F45f6fA853Ee","javadf","0 ETH","$0.00","0.00096428"
"0xfb2a86860df9c84108c7b3c1956111f541ca02fd978037f287d4bb16c7086b19","Success","Transfer","20806037","2024-09-22 12:11:59","0xfc01da158e17b858af1880d7dd18c8d61e6bf7b6","","0x812Ba41e071C7b7fA4EBcFB62dF5F45f6fA853Ee","javadf","0 ETH","$0.00","0.00090841"
"0x547498e8c3887424ac0dafbaf35e71994f37260ac8f962f25c045ec883b94491","Success","Approve","20806021","2024-09-22 12:08:47","0x8b1396f754b83afa1d06d273d5915d573b4f04ee","","0x812Ba41e071C7b7fA4EBcFB62dF5F45f6fA853Ee","javadf","0 ETH","$0.00","0.00080425"
"0xf5bbbb9d97aa1f8ae9daf63104255775a65876d4f6f4712531e3f5e2a69a0fcd","Success","Transfer","20806020","2024-09-22 12:08:35","0xfc01da158e17b858af1880d7dd18c8d61e6bf7b6","","0x812Ba41e071C7b7fA4EBcFB62dF5F45f6fA853Ee","javadf","0 ETH","$0.00","0.00160703"
"0x9f41fb9e04605f8b1926f6cb5523bcbc08fae56b24f29bd7592216319317b0ee","Success","Approve","20806013","2024-09-22 12:07:11","0xa6447519ce11bc925969c3eb26370bcca104b785","","0x812Ba41e071C7b7fA4EBcFB62dF5F45f6fA853Ee","javadf","0 ETH","$0.00","0.00102558"
"0x53940b3529df8723f62ca6293e7dd84dad18279ed8706cd136d78ce2115cc5ec","Success","Transfer","20805994","2024-09-22 12:03:11","0xb916338ddc50c77c60952295ca55c8f518e6fc80","","0x812Ba41e071C7b7fA4EBcFB62dF5F45f6fA853Ee","javadf","0 ETH","$0.00","0.00098822"
"0x8656584dc52ceba5ec66b59ad63da45d736f3275354b795b9f27a3443c43bed0","Success","Transfer","20805982","2024-09-22 12:00:47","0x21a31ee1afc51d94c2efccaa2092ad1028285549","Binance 15","0x812Ba41e071C7b7fA4EBcFB62dF5F45f6fA853Ee","javadf","0 ETH","$0.00","0.00153309"
"0x2bf9b7a6b189b447a97fcb9e2182c8c41bf51039727079b9d838653da5b616ec","Success","Transfer","20805978","2024-09-22 11:59:59","0xf4ca664fcf5f32693a168366ebb6ee13c314f96d","","0x812Ba41e071C7b7fA4EBcFB62dF5F45f6fA853Ee","javadf","0 ETH","$0.00","0.00160172"
"0x1ae0e0218e7fc637f740c3171b8f41f124c3118f9e175be2aba7c41696ebe524","Success","Transfer","20805971","2024-09-22 11:58:35","0x1ab4973a48dc892cd9971ece8e01dcc7688f8f23","Bitget 6","0x812Ba41e071C7b7fA4EBcFB62dF5F45f6fA853Ee","javadf","0.0134 ETH","$34.62","0.00037602"
"0x7b90515ffebfc13ba7b57b68da36a77221736d7be660ab2a8d7c1da83b73f788","Success","Approve","20805959","2024-09-22 11:56:11","0x8b1396f754b83afa1d06d273d5915d573b4f04ee","","0x812Ba41e071C7b7fA4EBcFB62dF5F45f6fA853Ee","javadf","0 ETH","$0.00","0.00079325"
"0x9584afa33318320b09db60ad6e328d31fc63096ad7ecaf23b10470ec8a09d577","Success","Transfer","20805957","2024-09-22 11:55:47","0x34db658d89523f9af401cc7cd7c3cb8f6e727c0a","","0x812Ba41e071C7b7fA4EBcFB62dF5F45f6fA853Ee","javadf","0 ETH","$0.00","0.00096433"
"0x559d0be7f1017728e2261a25d105943831d3fe6166c475974252a0af98516a71","Success","Approve","20805953","2024-09-22 11:54:59","0x559d1f63d9c58c771d4c64ced51285653a67b8b2","","0x812Ba41e071C7b7fA4EBcFB62dF5F45f6fA853Ee","javadf","0 ETH","$0.00","0.00073129"
"0xbad9320768b78f0ed989271ee555dcfaebaa0c68fd703a26c54b4ce11934c997","Success","Transfer","20805939","2024-09-22 11:52:11","0x65eafbf27e09b0a5b667c8c3324e31cdc7cc92bf","","0x812Ba41e071C7b7fA4EBcFB62dF5F45f6fA853Ee","javadf","0 ETH","$0.00","0.00127215"
"0xb24c5d6b7f03f9d077701cbc747b0cf870a6a23b0fdb0b50b8d0fef47ac04c00","Success","Transfer","20805938","2024-09-22 11:51:59","0x57626fa8d0293234b890447215671cda83e5aa4a","","0x812Ba41e071C7b7fA4EBcFB62dF5F45f6fA853Ee","javadf","0 ETH","$0.00","0.00096191"
"0x4e145380a145acd8eb47af9bd423122569729f0522028d0fab6e5b3b119cae0f","Success","Transfer","20805925","2024-09-22 11:49:23","0x57626fa8d0293234b890447215671cda83e5aa4a","","0x812Ba41e071C7b7fA4EBcFB62dF5F45f6fA853Ee","javadf","0 ETH","$0.00","0.00125486"
"0x5f8b80044cb59169f3945d88adf87352432fed9f3c9c3b308270fa0b59ac006d","Success","Transfer","20805924","2024-09-22 11:49:11","0x5c4208363beaba496f65b1a9775ce7f14707096f","","0x812Ba41e071C7b7fA4EBcFB62dF5F45f6fA853Ee","javadf","0 ETH","$0.00","0.00121785"
"0x5e55d1a5e20823d5690fb10c3055b11d3c64cf9e0ec0f28d6674fb570b45f603","Success","Approve","20805920","2024-09-22 11:48:23","0xa4d3942d8ec9a85d4fc32640b8fc84456f25e5a1","","0x812Ba41e071C7b7fA4EBcFB62dF5F45f6fA853Ee","javadf","0 ETH","$0.00","0.00078233"
"0xaa42fc788a13e1e75047a2113ade393078fd2640e942029949c0ac2eeee2ab4b","Success","Transfer","20805890","2024-09-22 11:42:23","0x9642b23ed1e01df1092b92641051881a322f5d4e","","0x812Ba41e071C7b7fA4EBcFB62dF5F45f6fA853Ee","javadf","0 ETH","$0.00","0.00137454"
"0x4950246f4136d1d253cf1cb127f02d3f02d2a877e4236fcae9533a2b5b11931d","Success","Transfer","20805883","2024-09-22 11:40:59","0xb916338ddc50c77c60952295ca55c8f518e6fc80","","0x812Ba41e071C7b7fA4EBcFB62dF5F45f6fA853Ee","javadf","0 ETH","$0.00","0.00102994"
"0x7e67230f3a892a9fa721ba7c9e7e5e99b2b43c6e59df4fbbc66970147925ada0","Success","Transfer","20805834","2024-09-22 11:31:11","0xceef41af00335210ffbc865a29cfa8a3014e272c","*40️⃣0️⃣.eth","0x812Ba41e071C7b7fA4EBcFB62dF5F45f6fA853Ee","javadf","0 ETH","$0.00","0.00063069"
"0xd7d4f5983a961761b7f3ecf0918816a1813e1faa3ce908811a45c8746f1b3651","Success","Transfer","20805801","2024-09-22 11:24:35","0x4598b4f4d52a3d61b5f50038424c99f4d5c64b00","","0x812Ba41e071C7b7fA4EBcFB62dF5F45f6fA853Ee","javadf","0 ETH","$0.00","0.00112984"
"0xa222458db3aeebbf2e376b88f4b6845dd2a9df1075d27e4de5e22898cc7e08d3","Success","Transfer","20805794","2024-09-22 11:23:11","0x4598b4f4d52a3d61b5f50038424c99f4d5c64b00","","0x812Ba41e071C7b7fA4EBcFB62dF5F45f6fA853Ee","javadf","0 ETH","$0.00","0.00123033"
